番剧名,图片链接,播放量,弹幕量,投稿时间
【4月】雷顿神秘侦探社 ~ 卡特莉的解谜事件簿 ~ 43【三日月万事屋 X 糖点字幕组 / 中日双语】,http://i2.hdslb.com/bfs/archive/cd4a86c0c6e317ec6bc94c8ee057f446e598f4ee.png,1702,109,2019-02-21 11:52:47
【1月】虚拟小姐在看着你 07【生肉】,http://i1.hdslb.com/bfs/archive/8fc90e58f8aaa6afc695328d59139468be2a7bc6.png,890,26,2019-02-21 11:48:19
【5月/生肉】游戏王VRAINS 90,http://i2.hdslb.com/bfs/archive/8351a1b5e3f958e097280e49eb6b1cb06f4e15dd.jpg,2049,65,2019-02-21 11:48:07
【1月】同居人是猫 07【独家正版】,http://i2.hdslb.com/bfs/archive/a9504ba7e6e23f51a9384fe3178e213e7cf84ec7.jpg,146954,5140,2019-02-21 00:00:00
【1月】明治东京恋伽 07【独家正版】,http://i1.hdslb.com/bfs/archive/9de29b6c87e268126552b7a235ecea8d32cb9437.jpg,35660,1632,2019-02-20 23:00:00
【1月】盾之勇者成名录 07【独家正版】,http://i1.hdslb.com/bfs/archive/4546ab985eb2cd8774528ba488e4ac96c68cbb05.jpg,912602,40733,2019-02-20 22:00:00
【1月】烟草 07【独家正版】,http://i2.hdslb.com/bfs/archive/19352cf44bbf894a2befe56d02b4e8df42eaaf6e.jpg,41454,1928,2019-02-20 19:56:06
【生肉】星之島喵喵 第11集,http://i2.hdslb.com/bfs/archive/4b74025b744bb32b36b37f731d2d06eb88ed1901.jpg,247,0,2019-02-20 19:08:22
【生肉】星之島喵喵 第12集,http://i2.hdslb.com/bfs/archive/8f8eec019e9b329f1413cc4d5b26235db1a80d66.jpg,110,0,2019-02-20 19:08:18
【1月】临死！！江古田 07【幻樱】,http://i0.hdslb.com/bfs/archive/2110c0ceb779f15c75dacf14534ff371e3ed6586.png,1537,1,2019-02-20 19:07:10
【1月】临死！！江古田 07【生肉】,http://i2.hdslb.com/bfs/archive/85212545c893a3d2b9e1de2459e16904059d4a2e.png,123,0,2019-02-20 19:07:10
【TVB粤语繁中】新干线战士  26集,http://i0.hdslb.com/bfs/archive/4421e199c58ccc317bb19ba7899b623c48599114.jpg,580,0,2019-02-20 10:29:56
【长篇】精灵宝可梦 日月 109【枫叶】,http://i1.hdslb.com/bfs/archive/cac276afffbdd504503604055043b4cc4deab234.jpg,89459,4273,2019-02-20 10:27:47
【10月】强风吹拂 18,http://i0.hdslb.com/bfs/archive/a61865eab808ec93ee75759a608cbca365352649.jpg,103428,2790,2019-02-20 00:28:49
